configuration,complete,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE,macro_F1_mean,MAE_mean
W0-bN-m02,True,modality,T,16,17,1.0,0.5607341131006117,0.6987696919251782,0.5705068781501027,0.6649240526595217
W0-bN-m02,True,modality,T,16,29,1.0,0.5762205253633665,0.6531272042306054,0.5705068781501027,0.6649240526595217
W0-bN-m02,True,modality,T,16,43,1.0,0.57456599598633,0.6428752618227814,0.5705068781501027,0.6649240526595217
W0-bN-m02,True,modality,TA,16,17,0.992445054945055,0.5586947588700835,0.7013358197267295,0.5688204480384006,0.6674712828194954
W0-bN-m02,True,modality,TA,16,29,0.992445054945055,0.5752379792200124,0.6550496544978059,0.5688204480384006,0.6674712828194954
W0-bN-m02,True,modality,TA,16,43,0.992445054945055,0.572528606025106,0.6460283742339509,0.5688204480384006,0.6674712828194954
W0-bN-m02,True,modality,TV,16,17,0.9625686813186813,0.5630230807480124,0.6949629753959256,0.5713965444602015,0.6627497235826495
W0-bN-m02,True,modality,TV,16,29,0.9625686813186813,0.5745323656188285,0.6508868667847792,0.5713965444602015,0.6627497235826495
W0-bN-m02,True,modality,TV,16,43,0.9625686813186813,0.5766341870137637,0.6423993285672436,0.5713965444602015,0.6627497235826495
W0-bN-m02,True,modality,V,16,17,0.9625686813186813,0.5871252363530769,0.6785860256034609,0.5853095213512621,0.6428518047434078
W0-bN-m02,True,modality,V,16,29,0.9625686813186813,0.5797465625865388,0.6231540726503226,0.5853095213512621,0.6428518047434078
