configuration,status,dimension,value,nominal_conditions,seed,mean_coverage,macro_F1,MAE
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,29,0.9809981684981685,0.5909984095351848,0.7086045346008781
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.1,24,43,0.9809981684981685,0.5976713178018133,0.6799794597127171
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,17,0.9809981684981685,0.6086000918977711,0.6436760697295215
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,29,0.9809981684981685,0.5868131044052168,0.7094735855216495
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.3,24,43,0.9809981684981685,0.5968609617494359,0.6867321977559873
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,17,0.9809981684981685,0.5981821470869219,0.6477371617387871
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,29,0.9809981684981685,0.5814702569548599,0.7089223767470263
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.5,24,43,0.9809981684981685,0.5924749186221995,0.6963263847751091
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,17,0.9720695970695972,0.5852400289874384,0.6565512205305688
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,29,0.9720695970695972,0.5744649633942347,0.708503066664044
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,nominal_supported_window_fraction,0.7,24,43,0.9720695970695972,0.5838080645929035,0.7156245985571904
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,17,0.9787660256410257,0.6005340673842058,0.6504424182326497
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,29,0.9787660256410257,0.5809890152779689,0.7199434806568004
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,back,24,43,0.9787660256410257,0.5930771405146188,0.685814648500628
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,17,0.9787660256410257,0.6061387509209982,0.6483092124678175
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,29,0.9787660256410257,0.5831553461565021,0.7135872258922206
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,front,24,43,0.9787660256410257,0.5921221065811141,0.7007706827892655
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,17,0.9787660256410257,0.5979674404291137,0.6415177899965677
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,29,0.9787660256410257,0.5876627898069421,0.6968124928523368
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,middle,24,43,0.9787660256410257,0.5934732608224441,0.6954793057491274
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,17,0.9787660256410257,0.599510691543633,0.646970514896658
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,29,0.9787660256410257,0.581939583048083,0.7051603641322401
B-CAT-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,position,random,24,43,0.9787660256410257,0.5921427548481751,0.696598003761983
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,17,0.992445054945055,0.5888298085674646,0.6806186198643008
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,29,0.992445054945055,0.601700241498149,0.6244461444764053
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,A,16,43,0.992445054945055,0.5982349964512319,0.6287183722885887
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,17,0.9625686813186813,0.5899779795918174,0.6813647444570408
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,29,0.9625686813186813,0.5997582996866343,0.6239746259506895
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,AV,16,43,0.9625686813186813,0.5980499358241843,0.62858578615855
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,17,1.0,0.565258548609851,0.6987696919251782
B-CAT-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,target_modality_group,T,16,29,1.0,0.5827288301680383,0.6531272042306054
