configuration,status,condition,target_modality_group,nominal_supported_window_fraction,position,random_replicates,eligible_count,total_count,coverage,CLEAN_ONCE_fallback_count,completed_seeds,macro_F1_mean,macro_F1_seed_sd_ddof1,MAE_mean,MAE_seed_sd_ddof1
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TA:0.7:random,TA,0.7,random,3,718,728,0.9862637362637363,10,17;29;43,0.30404760912018075,0.013768226916071429,0.8263182756677568,0.03771007800520653
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.1:front,TV,0.1,front,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.1:middle,TV,0.1,middle,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.1:back,TV,0.1,back,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.1:random,TV,0.1,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.3:front,TV,0.3,front,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.3:middle,TV,0.3,middle,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.3:back,TV,0.3,back,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.3:random,TV,0.3,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.5:front,TV,0.5,front,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.5:middle,TV,0.5,middle,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.5:back,TV,0.5,back,1,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.5:random,TV,0.5,random,3,703,728,0.9656593406593407,25,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.7:front,TV,0.7,front,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.7:middle,TV,0.7,middle,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.7:back,TV,0.7,back,1,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,TV:0.7:random,TV,0.7,random,3,694,728,0.9532967032967034,34,17;29;43,0.3075648432142088,0.013329465583855662,0.8187109196658593,0.03590099958842725
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.1:front,AV,0.1,front,1,703,728,0.9656593406593407,25,17;29;43,0.3054728164046788,0.019630214336274914,0.8189381423874629,0.03648069889137124
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.1:middle,AV,0.1,middle,1,703,728,0.9656593406593407,25,17;29;43,0.2974551757366773,0.00993872239896784,0.8182281119069433,0.035722399662203905
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.1:back,AV,0.1,back,1,703,728,0.9656593406593407,25,17;29;43,0.30461788853208566,0.014414439561843857,0.8191592605705006,0.036252330889074806
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.1:random,AV,0.1,random,3,703,728,0.9656593406593407,25,17;29;43,0.30079276284313283,0.013833340261214647,0.8189514281047271,0.0364960723570134
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.3:front,AV,0.3,front,1,703,728,0.9656593406593407,25,17;29;43,0.30175224234820236,0.01839973561880857,0.8216011326417524,0.038259289894785845
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.3:middle,AV,0.3,middle,1,703,728,0.9656593406593407,25,17;29;43,0.30144555404050755,0.007727775354747897,0.8175142632775826,0.03457808584753668
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.3:back,AV,0.3,back,1,703,728,0.9656593406593407,25,17;29;43,0.3074283319468333,0.02075514036489748,0.8210352192848308,0.035742016343996215
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.3:random,AV,0.3,random,3,703,728,0.9656593406593407,25,17;29;43,0.30109546067569326,0.01971045124448499,0.8214037395776961,0.03595638188358334
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.5:front,AV,0.5,front,1,703,728,0.9656593406593407,25,17;29;43,0.30354398684514367,0.02408289583956128,0.8234321703074561,0.03852980905730829
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.5:middle,AV,0.5,middle,1,703,728,0.9656593406593407,25,17;29;43,0.30034185223368176,0.008559881132660216,0.8190954716969111,0.03540796547248585
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.5:back,AV,0.5,back,1,703,728,0.9656593406593407,25,17;29;43,0.30535098472462147,0.01611884671752719,0.8228064236542335,0.0332572709182293
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.5:random,AV,0.5,random,3,703,728,0.9656593406593407,25,17;29;43,0.2998021779444307,0.01594024367314983,0.8240059743736384,0.03430531762806881
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.7:front,AV,0.7,front,1,694,728,0.9532967032967034,34,17;29;43,0.29904400623243826,0.027784678928443548,0.8327351123668746,0.04168270037173705
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.7:middle,AV,0.7,middle,1,694,728,0.9532967032967034,34,17;29;43,0.30008842714227674,0.015978934729581673,0.824678759841332,0.03858632229921885
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.7:back,AV,0.7,back,1,694,728,0.9532967032967034,34,17;29;43,0.2999609432885717,0.006335718213884218,0.8253939539057543,0.03363828198243231
B-A-identity,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,AV:0.7:random,AV,0.7,random,3,694,728,0.9532967032967034,34,17;29;43,0.2996595226263606,0.016251619737341724,0.8284305250460849,0.03870298038734488
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:front,T,0.1,front,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:middle,T,0.1,middle,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:back,T,0.1,back,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.1:random,T,0.1,random,3,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220543
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:front,T,0.3,front,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:middle,T,0.3,middle,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:back,T,0.3,back,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.3:random,T,0.3,random,3,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220543
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:front,T,0.5,front,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:middle,T,0.5,middle,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:back,T,0.5,back,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.5:random,T,0.5,random,3,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220543
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:front,T,0.7,front,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:middle,T,0.7,middle,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:back,T,0.7,back,1,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220537
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,T:0.7:random,T,0.7,random,3,728,728,1.0,0,17;29;43,0.3654756438740783,0.009693623980381887,0.8450225580143278,0.006929744568220543
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:front,A,0.1,front,1,724,728,0.9945054945054945,4,17;29;43,0.34942949946220175,0.011630215791950928,0.8508157789236086,0.009749327861120611
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:middle,A,0.1,middle,1,724,728,0.9945054945054945,4,17;29;43,0.35162817343528685,0.013200299578031493,0.8458740124779037,0.010056071567760753
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:back,A,0.1,back,1,724,728,0.9945054945054945,4,17;29;43,0.35956838614271835,0.004678384048585332,0.8444195170674133,0.009480608079523587
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.1:random,A,0.1,random,3,724,728,0.9945054945054945,4,17;29;43,0.35315409947022175,0.01382067817967821,0.8500343093308511,0.008627881560441298
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:front,A,0.3,front,1,724,728,0.9945054945054945,4,17;29;43,0.3607147544386935,0.004805098682220624,0.860702257491096,0.011602339782505735
B-A-zscore,ALL_THREE_PRESPECIFIED_SEEDS_COMPLETED,A:0.3:middle,A,0.3,middle,1,724,728,0.9945054945054945,4,17;29;43,0.3496182816807889,0.02099505911372576,0.8560197911545723,0.01745963660683194
